Id,Comments
@weirdcrafter9649,약간 혁명 후에 가까스로 도주해서 살아남은 왕이 숨어살다가 늙고 추레해져서 변두리 술집에서 술마시면서 앞에 있는 바텐더한테 주정부리듯이 옛날얘기하는 것 같다
@user-xg8yg7es9g,저날 현장에 있었는데 그 감동... 온몸에 전율이 느껴지던 그 순간을 잊지 못하겠네요 ㅠㅠ 새롭게 쓰는 viva la vida   cold play 가 만든 역작에 날개를 단 느낌 !
@spellzero,미치광이같다...................노래도미쳤고 목소리도 미쳤다.
@abc123eng,잔나비는 굳이 발음가지고 지적할게 아닌듯 사람마다 특색이 있는거지 내가 듣기엔 충분히 특색있고 좋은 발음인데 목소리도 특이한데 좋아서 노래 들을때 굳이 걸리진 않는듯;
@user-en1jm3og1o,몇번봐도 진짜 잘함. 내가 가수를 좋아하게되다니 내가슴과정서를 완전 바뀌게 만든 잔나비 . 알게되다니 정말 행복한 한해다  어쩜 팝을 이래 멋지게 부를수있지. 또 다른 방송에 나오기를 ~
@uri5843,"잔나비는  모든 노래를 잔나비화시키죠.선곡도 연주도 최고지만,무엇보다 정훈씨 음색과 곡에대한해석은 최곱니다"
@teoljimseung,아니.. 어떻게 이 영상 하나로 영화 한 편이 그려지지.. 어떤 왕의 연대기를 이미 본 것 같은 기분
@roxanity101,I'm a fan of Hweseung and NFLYING but I really love Jannabi's performance as well. They did so well. My heart is warm.
@user-ii3ff5dp4q,와............진짜 그저 감탄만 나온다.....이 노래를 이렇게나 설득력있게 부르다니
@user-zc5mn2bl9j,그냥 .. 뭐랄가.. 완벽하다 잔나비  이노래 들으면 막 가만히 있지를 못하겟어 뭔가 나도 힘차지는 느낌이야
@MIN-kt2hy,왜이리 멋있는거야ㅠㅠㅠㅠㅠㅠㅠ베이스 기타 목소리 드럼 다들 왜 이렇게 잘하고 멋진거야ㅠㅠㅠㅠㅠㅠㅠㅠ잔나비 사랑해ㅠㅠㅠㅠㅠㅠㅠㅠ...
@jollyday8189,잔나비 월드스타 됐으면 좋겠다ㅠ 한국에만 있기엔 재능이 너무 커
@user-rf2ke9tf6i,진짜 이 무대 너무 레전드..
@munira2923,"As the biggest Coldplay fan, this is by far one of the best covers I have ever heard. Jannabi are truly talented."
@movemove7565,나 이거 이제서야 봤어.. 노래표현 너무좋네요.. 내가 아직 보지못한 감동적인 영상들이 얼마나 많을까..
@eh2468,"힘든 시간을 겪으신 만큼 , 모든 면에서 전보다 성숙한 모습으로 더욱 멋진 삶을 만들어가시는 잔나비 되길 바래요!  잔나비 음악 정말 정말 좋습니다!!"
@doodoo7922,단순한 모창이 아니라 자기만의 색깔이 드러나는게 너무 좋다
@kaiman2388,배철수 표정보니 감명받은게 명확하다...
@imonanisa,O kadar güzel bir versiyon ki bu asla dinlemelere doyamıyorum
@user-ee4uz3ub6f,그냥 눈물난다 잔나비 곡해석 존나 잘해
@jinnykoh1,잔나비....진짜 사랑하지 않을수 없네 매무대가 레전드네....
@saloni_chaudhary1420,The Jannabi Vibes in this version of Viva la vida is impressive
@user-ug6me4sq2z,원곡은 막 밝아오는 서늘한 새벽에 하는 혼잣말 같았다면 잔나비 버전은 그 해가 저물고 까만 밤에 축배를 드는 느낌이다
@user-yb1oz2eq9r,불후의 명곡 Viva La Vida 무대보고 잔나비에 입덕했어요 매력덩어리 잔나비 최고!!!
@magicstar126,편곡 개미쳤음ㅠ또들어도 소름끼쳐ㅠㅠ
@user-eo6et3ri4u,또 들으러 들어옴 역쉬 쵝오!!!
@jigujelly77,저 함성들이 그리워요 잔멘..
@WhistlingBird,잔나비... 뭔가 목소리가 긁는 것 같은데도 참 부드러워... 부들부들해...
@user-fy6zt8cs8g,시험 당일 새벽 2시에 들으면 근자감 개뿜뿜해지는 노래임
